ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3251055,"Fiocco, Gioseffo Hectore","费欧寇,乔瑟夫",,1703-1741,比利时,作曲,nan,2017-08-08
3251056,"Fiocco, Pietro Antonio","费欧寇,皮耶特罗",,1650-1714,义大利,指挥；作曲,nan,2017-08-08
3251057,"Fiorillo, Dante","费奥利洛,丹提",,1905-1970,美国,作曲,nan,2017-08-08
3251058,"Fiorillo, Federigo","费奥利洛,费德利果",,1755-1823,义大利,小提琴；作曲,nan,2017-08-08
3251059,"Fiorillo, Ignazio","费奥利洛,伊尼亚契欧",,1715-1787,义大利,作曲,nan,2017-08-08
3251060,"Fischer, Annie","费雪,安妮",,1914-1995,匈牙利,钢琴,nan,2017-08-08
3251061,"Fischer, Carl","费雪,卡尔",,1849-1923,美国,音乐出版,nan,2017-08-08
3251062,"Fischer, Edwin","费雪,艾德温",,1886-1960,瑞士,钢琴；指挥,nan,2017-08-08
3251063,"Fischer, Johann Kaspar Ferdinand","费雪,约翰",,1670-1746,德国,作曲,nan,2017-08-08
3251064,"Fischer-Dieskau, Dietrich",费雪－迪斯考,,1925-2012,德国,指挥；声乐,男中音,2017-08-08
3251065,"Fischer-Münster, Gerhard",费雪－明斯特,,1952-,德国,作曲,nan,2017-08-08
3251066,"Fišer, Luboš",费舍,,1935-1999,捷克,作曲,nan,2017-08-08
3251067,"Fisher, Sylvia","费雪,希薇亚",,1910-1996,澳大利亚,声乐,女高音,2017-08-08
3251068,"Fisher, William Arms","费雪,威廉",,1861-1948,美国,音乐著作,nan,2017-08-08
3251069,"Fistoulari, Anatole",费斯图拉瑞,,1907-1995,英国,指挥,俄裔,2017-08-08
3251070,"Fitelberg, Grzegorz","费泰贝格,葛瑞戈兹",,1879-1953,波兰,指挥,nan,2017-08-08
3251071,"Fitelberg, Jerzy","费泰贝格,耶济",,1903-1951,波兰,作曲,nan,2017-08-08
3251072,"Fitkin, Graham",费特金,,1963-,英国,作曲,nan,2017-08-08
3251073,"Fjeldstad, Oivin",费耶尔斯塔,,1903-1983,挪威,指挥,nan,2017-08-08
3251074,"Flagstad, Kirsten",弗拉格斯塔,,1895-1962,挪威,声乐,女高音,2017-08-08
3251075,"Flanagan, William",弗拉纳根,,1923-1969,美国,作曲；著作,nan,2017-08-08
3251076,"Flecha, Mateo",弗列恰,,1530-1604,西班牙,作曲,nan,2017-08-08
3251077,"Fleisher, Leon",弗莱雪,,1928-,美国,钢琴；指挥,nan,2017-08-08
3251078,"Fleming-Baird, Alan",弗雷明贝尔德,,1972-,苏格兰,作曲,nan,2017-08-08
3251079,"Flesch, Carl",弗雷许,,1873-1944,匈牙利,小提琴,nan,2017-08-08
3251080,"Fleta, Miguel",弗列塔,,1893-1938,西班牙,声乐,男高音,2017-08-08
3251081,"Fleury, André","弗勒利,安德烈",,1903-1995,法国,管风琴；作曲,nan,2017-08-08
3251082,"Fleury, Louis","弗勒利,路易",,1878-1926,法国,长笛,nan,2017-08-08
3251083,"Florence, Evangeline",弗罗伦斯,,1873-1928,美国,声乐,女高音,2017-08-08
3251084,"Flothuis, Marius",弗洛徒伊斯,,1914-2001,荷兰,作曲；音乐学,nan,2017-08-08
3251085,"Flotow, Friedrich von",弗洛妥,,1812-1883,德国,歌剧作曲,nan,2017-08-08
3251086,"Flower, Newman",弗劳尔,,1879-1964,英国,音乐著作；出版,nan,2017-08-08
3251087,"Floyd, Carlisle",弗洛依德,,1926-,美国,作曲,nan,2017-08-08
3251088,"Fodor, Carolus Antonius (Antoine)",佛多,,1768-1846,荷兰,作曲,nan,2017-08-08
3251089,"Foggin, Myers",佛京,,1908-1986,英国,钢琴；指挥,nan,2017-08-08
3251090,"Foldes, Andor",佛德斯,,1913-1992,美国,钢琴,匈裔,2017-08-08
3251091,"Földvári, Gergely",弗德瓦利,,1970-,匈牙利,作曲,nan,2017-08-08
3251092,"Foli, Allen James",佛利,,1835-1899,爱尔兰,声乐,男低音,2017-08-08
3251093,"Fomin, Evstigney Ipatovich",佛明,,1761-1800,俄国,作曲,nan,2017-08-08
3251094,"Fontana, Bill","冯塔纳,比尔",,1947-,美国,作曲,nan,2017-08-08
3251095,"Fontana, Giovanni Battista","冯塔纳,乔望尼",,1571-1631,义大利,作曲,nan,2017-08-08
3251096,"Fontana, Julian (Jules)","冯塔纳,朱利安",,1810-1869,波兰,作曲,nan,2017-08-08
3251097,"Fontyn, Jacqueline",冯坦,,1930-,比利时,作曲,nan,2017-08-08
3251098,"Foote, Arthur",富特,,1853-1937,美国,作曲；钢琴,nan,2017-08-08
3251099,"Forbes, Robert","富比士,罗伯特",,1878-1958,英国,钢琴；指挥,nan,2017-08-08
3251100,"Forbes, Sebastian","富比士,瑟巴斯坦",,1941-,英国,作曲；管风琴,nan,2017-08-08
3251101,"Forbes, Watson","富比士,瓦森",,1909-1997,英国,中提琴,nan,2017-08-08
3251102,"Ford, Thomas",福特,,1580-1648,英国,作曲,nan,2017-08-08
3251103,"Forester, Josef Bohuslav",佛尔斯特,,1859-1951,捷克,作曲；管风琴,nan,2017-08-08
3251104,"Forestier, Mathurin",佛雷斯提耶,,1470?-1540?,法国,作曲,nan,2017-08-08
3251105,"Forlivesi, Carlo",佛利威希,,1971-,义大利,作曲,nan,2017-08-08
3251106,"Formichi, Cesare",佛尔米基,,1887-1949,义大利,声乐,男中音,2017-08-08
3251107,"Forqueray, Antoine",佛格雷,,1671 or 1672-1745,法国,作曲,nan,2017-08-08
3251108,"Förster, Emanuel Aloys",弗尔斯特,,1748-1823,奥地利,作曲；音乐理论,nan,2017-08-08
3251109,"Forsyth, Cecil",弗赛斯,,1870-1941,英国,作曲；音乐学,nan,2017-08-08
3251110,"Fortner, Wolfgang",佛特纳,,1907-1987,德国,作曲；指挥,nan,2017-08-08
3251111,"Fortuna, Marcelo",佛杜纳,,1965-,巴西,作曲,nan,2017-08-08
3251112,"Foss, Lukas",佛斯,,1922-2009,美国,作曲；钢琴,德裔,2017-08-08
3251113,"Foster, Lawrence","佛斯特,劳伦斯",,1941-,美国,指挥,nan,2017-08-08
3251114,"Foster, Muriel","佛斯特,莫莉",,1877-1937,英国,声乐,次女高音,2017-08-08
3251115,"Foster, Stephen Collins","佛斯特,史提芬",,1826-1864,美国,歌谣作曲,nan,2017-08-08
3251116,"Foulds, John",法尔兹,,1880-1939,英国,作曲；指挥,nan,2017-08-08
3251117,"Fourestier, Louis",傅雷斯提耶,,1892-1976,法国,指挥；作曲,nan,2017-08-08
3251118,"Fournet, Jean",傅尔内,,1913-2008,法国,指挥,nan,2017-08-08
3251119,"Fournier, Pierre",傅尼叶,,1906-1986,法国,大提琴,nan,2017-08-08
3251120,"Fowler, Tommy",法勒,,1948-,英国（苏格兰）,作曲,nan,2017-08-08
3251121,"Frackenpohl, Arthur",弗雷肯波尔,,1924-,美国,作曲,nan,2017-08-08
3251122,"Frager, Malcolm",弗雷格,,1935-1991,美国,钢琴,nan,2017-08-08
3251123,"Francaix, Jean",弗朗谢,,1912-1997,法国,作曲；钢琴,nan,2017-08-08
3251124,"Francescatti, Zino",弗朗切斯卡悌,,1902-1991,法国,小提琴,nan,2017-08-08
3251125,"Franceschini, Petronio",弗朗切斯基尼,,1651-1680,义大利,作曲,nan,2017-08-08
3251126,"Franchetti, Alberto",弗朗凯第,,1860-1942,义大利,作曲,nan,2017-08-08
3251127,"Franchomme, Auguste",弗朗科姆,,1808-1884,法国,大提琴,nan,2017-08-08
3251128,"Franci, Carlo",弗朗契,,1927-,义大利,指挥；作曲,nan,2017-08-08
3251129,"Franck, César","法朗克,赛札尔",,1822-1890,比利时,管风琴；作曲,nan,2017-08-08
3251130,"Franck, Melchior","法朗克,梅尔希尔",,1579-1639,德国,作曲,nan,2017-08-08
3251131,"Francoeur, François",弗朗科尔,,1698-1787,法国,小提琴；作曲,nan,2017-08-08
3251132,"François, Samson",弗隆索瓦,,1924-1970,法国,钢琴,nan,2017-08-08
3251133,"Frankel, Benjamin",弗朗可,,1906-1973,英国,作曲；指挥,nan,2017-08-08
3251134,"Frankenstein, Alfred",弗朗肯斯坦,,1906-1981,美国,音乐著作,nan,2017-08-08
3251135,"Frankl, Peter",弗朗科,,1935-,匈牙利,钢琴,nan,2017-08-08
3251136,"Franklin, David",弗朗克林,,1908-1973,美国,声乐,男低音,2017-08-08
3251137,"Franz, Robert","弗朗兹,罗伯特",,1918-1892,德国,作曲,nan,2017-08-08
3251138,"Franz, Vladimír","弗朗兹,弗拉迪米尔",,1959-,捷克,作曲,nan,2017-08-08
3251139,"Fraser-Simson, Harold",弗瑞瑟－辛森,,1878-1944,英国,作曲,nan,2017-08-08
3251140,"Frazelle, Kenneth",弗瑞泽,,1955-,美国,作曲,nan,2017-08-08
3251141,"Freccia, Massimo",弗瑞契亚,,1906-2004,义大利,指挥；作曲,nan,2017-08-08
3251142,"Fredman, Myer",弗瑞德曼,,1932-,英国,指挥,nan,2017-08-08
3251143,"Fredrics, Howard",弗瑞德利克斯,,1962-,美国,作曲,nan,2017-08-08
3251144,"Freed, Isadore",弗莉德,,1900-1960,美国,指挥,俄裔,2017-08-08
3251145,"Freedman, Harry",弗雷德曼,,1922-2005,波兰,作曲,nan,2017-08-08
3251146,"Freinsberg, Jean Adam(Guillaume)",弗莱茵斯贝尔格,,1702-after 1739,德国,管风琴,nan,2017-08-08
3251147,"Freitas Branco, Luís de","弗雷达斯‧布朗哥,路易斯",,1890-1955,葡萄牙,作曲,nan,2017-08-08
3251148,"Freitas Branco, Pedro de","弗雷达斯‧布朗哥,贝德罗",,1896-1962,葡萄牙,指挥；作曲,nan,2017-08-08
3251149,"Freitas, Frederico",弗雷达斯,,1902-1980,葡萄牙,作曲；指挥,nan,2017-08-08
3251150,"Frémaux, Louis",弗雷莫,,1921-,法国,指挥,nan,2017-08-08
3251151,"Fremstad, Olive",弗雷姆丝塔德,,1871-1951,美国,声乐,瑞典裔女高音,2017-08-08
3251152,"Freni, Mirella",弗蕾妮,,1935-,义大利,声乐,女高音,2017-08-08
3251153,"Frensel Wegener, Emmy","弗莲瑟‧维格纳,艾美",,1901-1973,荷兰,作曲,nan,2017-08-08
3251154,"Frensel Wegener-Koopman, Bertha","弗莲瑟‧维格纳－库普曼,贝塔",,1874-1953,荷兰,作曲,nan,2017-08-08
3251155,"Freschi, Giovanni Domenico",弗雷斯基,,1640-1690,义大利,作曲,nan,2017-08-08
3251156,"Frescobaldi, Girolamo",弗雷斯科巴第,,1583-1643,义大利,管风琴；作曲,nan,2017-08-08
3251157,"Fretwell, Elizabeth",弗瑞翠,,1922-2009,澳大利亚,声乐,女高音,2017-08-08
3251158,"Freund, Marya",弗洛茵特,,1876-1966,波兰,声乐,女高音,2017-08-08
3251159,"Frick, Gottlob",弗利克,,1906-1994,德国,声乐,男低音,2017-08-08
3251160,"Fricker, Peter Racine",弗利可,,1920-1990,英国,作曲,nan,2017-08-08
3251161,"Fricsay, Ferenc",弗利却,,1914-1963,匈牙利,指挥,nan,2017-08-08
3251162,"Frid, Geza","弗利德,盖札",,1904-1989,荷兰,作曲；钢琴家,匈裔,2017-08-08
3251163,"Fried, Oskar",弗利特,,1871-1941,德国,指挥；作曲,nan,2017-08-08
3251164,"Fried, Philip","弗利德,菲利普",,1955-,美国,作曲,nan,2017-08-08
3251165,"Friedheim, Arthur",弗利德海姆,,1859-1932,德国,钢琴,nan,2017-08-08
3251166,"Friedman, Ignaz",弗利德曼,,1882-1948,波兰,钢琴,nan,2017-08-08
3251167,"Friedrich II, der Grosse (the Great)",弗里德里希二世,,1712-1786,德国,作曲；长笛,nan,2018-05-31
3251168,"Friend, Rodney",弗兰德,,1939-,英国,小提琴,nan,2017-08-08
3251169,"Friml, Rudolf",弗里摩尔,,1879-1972,美国,钢琴；作曲,捷克裔,2017-08-08
3251170,"Friskin, James",弗利斯金,,1886-1967,英国（苏格兰）,钢琴,nan,2017-08-08
3251171,"Frith, Fred",弗利斯,,1949-,英国,作曲,nan,2017-08-08
3251172,"Froberger, Johann Jocub",弗罗贝格尔,,1616-1667,德国,作曲；管风琴,nan,2017-08-08
3251173,"Froom, David",弗如姆,,1951-,美国,作曲,nan,2017-08-08
3251174,"Frühbeck de Burgos, Rafael",弗吕贝克德布果斯,,1933-2014,西班牙,指挥,nan,2017-08-08
3251175,"Frumerie, Gunnar de",富鲁梅利,,1908-1987,瑞典,作曲,nan,2017-08-08
3251176,"Fry, William Henry",弗莱,,1813-1864,美国,作曲,nan,2017-08-08
3251177,"Frye, Walter",弗莱伊,,14??-1475 (?),英国,作曲,nan,2017-08-08
3251178,"Fryer, Herbert",弗莱尔,,1877-1957,英国,钢琴,nan,2017-08-08
3251179,"Fuchs, Carl","傅克斯,卡尔",,1838-1922,德国,音乐学,nan,2017-08-08
3251180,"Fuchs, Georg Friedrich","傅克斯,乔治",,1752-1821,法国,作曲,德裔,2017-08-08
3251181,"Fuchs, Johann Nepomuk","傅克斯,约翰",,1842-1899,奥地利,作曲；指挥,nan,2017-08-08
3251182,"Fuchs, Joseph","傅克斯,约瑟夫",,1900-1997,美国,小提琴,nan,2017-08-08
3251183,"Fuchs, Peter Paul","傅克斯,彼得",,1916-2007,奥地利,指挥,nan,2017-08-08
3251184,"Fuchs, Robert","傅克斯,罗伯特",,1847-1927,奥地利,作曲,nan,2017-08-08
3251185,"Fuchsova, Liza",傅克斯欧娃,,1913-1977,捷克,钢琴,nan,2017-08-08
3251186,"Fuenllana, Miguel de",富恩亚纳,,1500-1579,西班牙,作曲,nan,2017-08-08
3251187,"Fujieda, Mamoru",藤枝守,,1955-,日本,作曲,nan,2017-08-08
3251188,"Fujii, Kazuoki",藤井一兴,,1955-,日本,作曲,nan,2017-08-08
3251189,"Fujita, Masanori",藤田正典,,1946-,日本,作曲,nan,2017-08-08
3251190,"Fukai, Shiro",深井史郎,,1907-1959,日本,作曲,nan,2017-08-08
3251191,"Fukushima, Kazuo",福岛和夫,,1930-,日本,作曲,nan,2017-08-08
3251192,"Fuleihan, Anis",傅莱汉,,1900-1970,美国,钢琴；作曲,nan,2017-08-08
3251193,"Fuller Maitland, John Alexander",傅勒梅特兰德,,1856-1936,美国,钢琴；著作,nan,2017-08-08
3251194,"Fuller, Donald",傅勒,,1919-,美国,作曲,nan,2017-08-08
3251195,"Fulton, Norman",傅尔顿,,1910-1980,英国,作曲,nan,2017-08-08
3251196,"Funk, Eric",范克,,1949-,美国,作曲,nan,2017-08-08
3251197,"Furer, Arthur",傅尔,,1924-2013,瑞士,作曲,nan,2017-08-08
3251198,"Furmedge, Edith",傅梅吉,,1898-1956,英国,声乐,女低音,2017-08-08
3251199,"Furrer, Beat",傅雷尔,,1954-,瑞士,作曲,nan,2017-08-08
3251200,"Furtwängler, Wilhelm",福特温格勒,,1886-1954,德国,指挥,nan,2017-08-08
3251201,"Fux, Johann Joseph",福克司,,1660-1741,奥地利,作曲,nan,2017-08-08
3251202,"Gablenz, Jerzy",加布连兹,,1888-1937,波兰,作曲,nan,2017-08-08
3251203,"Gabriel-Marie, (Gabriel Prosper Marie)",加布里耶尔-马利,,1852-1928,法国,作曲,nan,2017-08-08
3251204,"Gabrieli, Andrea","加布里耶利,安德列亚",,1510-1586,义大利,管风琴；作曲,nan,2017-08-08
3251205,"Gabrieli, Giovanni","加布里耶利,乔望尼",,1557-1612,义大利,管风琴；作曲,nan,2017-08-08
3251206,"Gabrielli, Domenico","加布里耶利,多门尼可",,1651-1690,义大利,作曲；大提琴,nan,2017-08-08
3251207,"Gabrilovitsch(Gabrilowotsch), Ossip",加里洛维奇,,1878-1936,俄国,钢琴；作曲；指挥,nan,2017-08-08
3251208,"Gade, Niels Vilhelm",加德,,1817-1890,丹麦,作曲；管风琴；小提琴,nan,2017-08-08
3251209,"Gadsby, Henry Robert",加兹比,,1842-1907,英国,作曲,nan,2017-08-08
3251210,"Gadski, Johanna",加德丝基,,1872-1932,德国,声乐,女高音,2017-08-08
3251211,"Gagliano, Marco da",加利亚诺,,1582-1643,义大利,作曲,nan,2017-08-08
3251212,"Gaito, Constantino",加伊多,,1878-1945,阿根廷,作曲,nan,2017-08-08
3251213,"Gál, Hans",加尔,,1890-1987,奥地利,音乐学；作曲,nan,2017-08-08
3251214,"Galindo Dimas, Blas",加林多,,1910-1993,墨西哥,作曲,nan,2017-08-08
3251215,"Gallagher, Jack",加拉格尔,,1947-,美国,作曲,nan,2017-08-08
3251216,"Galli-Curci, Amelita",加丽－库契,,1882-1963,义大利,声乐,女高音,2017-08-08
3251217,"Galli-Mari , Celestine Laurence",加丽－玛莉,,1840-1905,法国,声乐,次女高音,2017-08-08
3251218,"Galliard, John Ernest",加利亚德,,1680-1749,德国,作曲,nan,2017-08-08
3251219,"Galliera, Alceo",加利耶拉,,1910-1996,义大利,指挥；作曲,nan,2017-08-08
3251220,"Gallus, Jacobus",加鲁斯,,1550-1591,斯洛维尼亚,作曲,nan,2017-08-08
3251221,"Galuppi, Baldassare",加鲁比,,1706-1785,义大利,作曲,nan,2017-08-08
3251222,"Galvão, Joaquim",加尔旺,,1967-,葡萄牙,作曲,nan,2017-08-08
3251223,"Galway, James",高威,,1939-,爱尔兰,长笛,nan,2017-08-08
3251224,"Galzunov, Alexander",葛拉祖诺夫,,1865-1936,俄国,作曲,nan,2017-08-08
3251225,"Gandini, Gerardo",甘地尼,,1936-,阿根廷,作曲,nan,2017-08-08
3251226,"Ganebin, Henri",加内班,,1886-1977,瑞士,作曲,nan,2017-08-08
3251227,"Gannon, Lee",甘农,,1960-1996,美国,作曲,nan,2017-08-08
3251228,"Ganz, Rudolf","甘兹,鲁道夫",,1877-1972,瑞士,钢琴；作曲；指挥,nan,2017-08-08
3251229,"Ganz, Wilhelm","甘兹,威廉",,1833-1914,德国,钢琴；指挥,nan,2017-08-08
3251230,"Garaguly, Carl",加拉古利,,1900-1984,瑞典,小提琴；指挥,匈牙利裔,2017-08-08
3251231,"Garaguly, Carl",加拉古利,,1900-1984,匈牙利,指挥；小提琴,nan,2017-08-08
3251232,"Garant, Serge",加朗,,1929-1986,加拿大,作曲,nan,2017-08-08
3251233,"García Abril, Antón",加西亚‧阿布利尔,,1933-,西班牙,作曲,nan,2017-08-08
3251234,"García Acevedo, Mario",加西亚‧阿谢维多,,1926-,阿根廷,作曲,nan,2017-08-08
3251235,"García Mansilla, Eduardo",加西亚曼西亚,,1870-1930,阿根廷,作曲,nan,2017-08-08
3251236,"García Morillo, Roberto",加西亚莫里悠,,1911-2003,阿根廷,作曲,nan,2017-08-08
3251237,"Garcia, José Maurício Nunes","加西亚,荷西",,1767-1830,巴西,作曲,nan,2017-08-08
3251238,"Garcia, Manuel ( del Popolo Vicente Rodrguez )","加西亚,马努耶尔",,1775-1832,西班牙,作曲；声乐,男高音,2017-08-08
3251239,"Garcia, Manuel Patricio Rodriguez","加西亚,马努耶尔‧帕特里西欧‧罗德里盖斯",,1835-1906,西班牙,声乐,男低音,2017-08-08
3251240,"Garcia-Viardot, Pauline",加西亚-维雅朵,,1821-1910,法国,作曲,nan,2017-08-08
3251241,"Gardella, Tomaso",加尔代拉,,1891-1997,义大利,作曲,nan,2017-08-08
3251242,"Gardelli, Lamberto",加尔代利,,1915-1998,义大利,指挥；作曲,nan,2017-08-08
3251243,"Garden, Mary",加登,,1874-1967,英国（苏格兰）,声乐,女高音,2017-08-08
3251244,"Gardiner, Balfour","加迪纳,巴福",,1877-1950,英国,作曲,nan,2017-08-08
3251245,"Gardiner, John Eliot","加迪纳,约翰",,1943-,英国,指挥,nan,2017-08-08
3251246,"Gardner, John Linton",加德纳,,1917-2011,英国,作曲；钢琴,nan,2017-08-08
3251247,"Gardner, Samuel","加德纳,撒姆尔",,1891-1984,美国,小提琴；作曲,nan,2017-08-08
3251248,"Gardoni, Italo",加尔多尼,,1821-1882,义大利,声乐,男高音,2017-08-08
3251249,"Gariboldi, Guiseppe",加里玻第,,1833-1905,义大利,作曲,nan,2017-08-08
3251250,"Garland, Dora",加尔兰德,,1893-1972,英国,小提琴,nan,2017-08-08
3251251,"Garner, David",加纳,,1956-,美国,作曲,nan,2017-08-08
3251252,Garrison Mabel,加瑞森,,1886-1963,美国,声乐,女高音,2017-08-08
3251253,"Gasparini, Francesco",加斯帕利尼,,1668-1727,义大利,作曲,nan,2017-08-08
3251254,"Gassier, edouard",加谢尔,,1820-1872,古巴,声乐,男中音,2017-08-08
3251255,"Gassmann, Florian Leopold",加斯曼,,1729-1774,捷克,作曲,nan,2017-08-08
3251256,"Gastolidini, S",加斯托里地尼,,1861-1939,义大利,作曲,nan,2017-08-08
3251257,"Gastoué, Amédée",加斯图耶,,1873-1943,法国,音乐学,nan,2017-08-08
3251258,"Gatti, Gabriella",加第,,1908-2003,义大利,声乐,女高音,2017-08-08
3251259,"Gatti-Casazza, Giulio",加第－卡萨札,,1869-1940,义大利,音乐经纪人,nan,2017-08-08
3251260,"Gatty, Nicholas",盖提,,1874-1946,英国,作曲,nan,2017-08-08
3251261,"Gaubert, Philippe",戈贝尔,,1879-1941,法国,指挥；作曲,nan,2017-08-08
3251262,"Gaul, Alfred",高尔,,1837-1913,英国,作曲,nan,2017-08-08
3251263,"Gauntlet, Ambrose","冈特雷特,安布罗斯",,1890-1978,英国,大提琴；中提琴,nan,2017-08-08
3251264,"Gauntlet, Henry John","巩特立,亨利",,1805-1876,英国,管风琴；作曲,nan,2017-08-08
3251265,"Gavazzeni, Gianandrea",加瓦策尼,,1909-1996,义大利,作曲；指挥,nan,2017-08-08
3251266,"Gaveaux, Pierre",加沃,,1760-1825,法国,作曲；声乐,男高音,2017-08-08
3251267,"Gaviniès, Pierre",加维尼叶斯,,1728-1800,法国,小提琴；作曲,nan,2017-08-08
3251268,"Gay, John",盖伊,,1685-1732,英国,剧作,nan,2017-08-08
3251269,"Gay, Maria",加伊,,1879-1943,西班牙,声乐,女高音,2017-08-08
3251270,"Gayarre, Julián",加亚瑞,,1844-1890,西班牙,声乐,男高音,2017-08-08
3251271,"Gazelle, Marcel",加杰尔,,1907-2006,法国,钢琴,nan,2017-08-08
3251272,"Gédalge, André",杰达尔吉,,1856-1926,法国,作曲,nan,2017-08-08
3251273,"Gedda, Nicolai",盖达,,1925-,瑞典,声乐,男高音,2017-08-08
3251274,"Geddes, John Maxwell",盖迪士,,1941-,英国（苏格兰）,作曲,nan,2017-08-08
3251275,"Gedike, Alexander",戈地克,,1877-1957,俄国,作曲,nan,2017-08-08
3251276,"Gees, Michael",盖斯,,1953-,德国,作曲,nan,2017-08-08
3251277,"Geiringer, Karl",盖林格,,1899-1989,美国,音乐学,奥裔,2017-08-08
3251278,"Gellhorn, Peter",盖尔霍恩,,1912-2004,德国,指挥；钢琴；作曲,nan,2017-08-08
3251279,"Geloen, Ludo",盖罗恩,,1962-,比利时,作曲,nan,2017-08-08
3251280,"Gelt, Andrew",杰尔特,,1951-,美国,作曲,nan,2017-08-08
3251281,"Geminiani, Francesco",杰米尼亚尼,,1687-1762,义大利,小提琴；作曲,nan,2017-08-08
3251282,"Gemrot, Jiří",杰姆罗特,,1957-,捷克,作曲,nan,2017-08-08
3251283,"Gendron, Maurice",冉德隆,,1920-1990,法国,大提琴,nan,2017-08-08
3251284,"Genee, Richard",盖内,,1823-1895,德国,指挥；作曲,nan,2017-08-08
3251285,"Genin, Paul Agricole",热南,,1832-1903,法国,作曲,nan,2017-08-08
3251286,"Genis, Evren",盖尼斯,,1978-,土耳其,作曲,nan,2017-08-08
3251287,"Genzmer, Harald",耿兹莫,,1909-2007,德国,作曲,nan,2017-08-08
3251288,"Geoffray, César",杰欧弗雷,,1901-1972,法国,作曲,nan,2017-08-08
3251289,"Geraedts, Jaap",杰莱特,,1924-2003,荷兰,作曲,nan,2017-08-08
