ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367686,ribavirin,锐拔肝韦尔；三唑核苷,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367687,ribociclib,力搏周素靶泊；哌戊咯嘧醯胺周素靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367688,rifabutin,丁哌立泛菌素；丁哌无枝菌素,Antimycobacterials,113.11.22,2026-05-11
21367689,"rifampin, rifampicin",立泛丝菌素；无枝菌素,Antimycobacterials,113.11.22,2026-05-11
21367690,rifapentine,环戊立泛菌素；环戊无枝菌素,Antimycobacterials,113.11.22,2026-05-11
21367691,rilpivirine,瑞庇韦尔啶；氰烯韦尔啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),113.11.22,2026-05-11
21367692,rimantadine,金刚烷乙胺,Antivirals：Uncoating inhibitors,113.11.22,2026-05-11
21367693,ripretinib,力扑胃靶泊；脲氟㖠啶酮胃靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367694,ritonavir,利妥韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367695,Rituximab,利妥嵌单抗,Anti-rheumatic Agents：Biological DMARDs [Antineoplastic agents：Monoclonal antibodies],113.11.22,2026-05-11
21367696,rivastigmine,瑞伐豆胺；l-乙拟毒扁豆碱,Antidementia：Acetylcholinesterase inhibitors,113.11.22,2026-05-11
21367697,roflumilast,诺气顺；吡氟环香草醯胺,Phosphodiesterase inhibitors：PDE4 inhibitors,113.11.22,2026-05-11
21367698,romidepsin,紫杆菌酯肽,Antineoplastic agents： Histone deacetylase inhibitors,113.11.22,2026-05-11
21367699,roxithromycin,醚肟红菌素；醚肟红丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367700,rucaparib,卤卡聚核苷靶泊；胺吲氮呯酮聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367701,rufinamide,氟苄唑醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Others,113.11.22,2026-05-11
21367702,ruxolitinib,掳狩髓靶泊；环戊腈咯嘧啶髓靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367703,saquinavir,双喹韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367704,"scopolamine, hyoscine",东莨菪碱,Antiemetics：Muscarinic antagonist,113.11.22,2026-05-11
21367705,selegiline,丙炔安非他命；炔苯异丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367706,selexipag,卸舒促环摄素；砜醯胺苯吡𠯤,"Prostacyclin receptor agonists, non-prostanoids that are not used to treat glaucoma",113.11.22,2026-05-11
21367707,selumetinib,卸落神纤靶泊；羟乙氧咪神纤靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367708,sennoside,番泻苷,Laxatives：Stimulant laxatives,113.11.22,2026-05-11
21367709,sertaconazole,舒达克霉唑；苯噻吩乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367710,sertraline,血清素林；氯氢萘类思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367711,sildenafil,欣达纳啡；哌𠯤磺苯异嘌呤,Phosphodiesterase inhibitors：PDE5 inhibitors,113.11.22,2026-05-11
21367712,"sirolimus, rapamycin",潮丝菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,113.11.22,2026-05-11
21367713,sisomicin,塞梭菌素；印优微单孢菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367714,sodium calcium edetate,乙二胺四乙酸钙二钠,Heavy metal antagonists,113.11.22,2026-05-11
21367715,sodium nitroprusside,硝普钠；亚硝氰铁化钠,Antihypertensives：Agents acting on arteriolar smooth muscle,113.11.22,2026-05-11
21367716,sodium picosulfate,二硫酸酚酯甲吡啶钠盐,Laxatives：Stimulant laxatives,113.11.22,2026-05-11
21367717,sodium stibogluconate,锑酸葡酸酯钠盐,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367718,sodium valproate,丙戊酸钠盐,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367719,sofosbuvir,舒活肝韦尔；膦氟尿肝韦尔,Antivirals：RNA polymerase (NS5B) inhibitors,113.11.22,2026-05-11
21367720,sorafenib,狩速肌靶泊 ；卤脲吡醯胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367721,sorbitol,山梨醇,Laxatives：Osmotic agents,113.11.22,2026-05-11
21367722,sotalol,舒坦落；磺醯胺丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class III antiarrhythmics] [Antiarrhythmics agents：Class III antiarrhythmics],113.11.22,2026-05-11
21367723,sparfloxacin,司拔氟洒欣；环丙二氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367724,spironolactone,螺内酯；螺内酯固酮,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367725,stanozolol,吡唑甲睪酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367726,stavudine,胸去羟烯苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs),113.11.22,2026-05-11
21367727,streptomycin,链丝菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367728,strophanthin-G,哇巴因；毒毛旋花子苷-G,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],113.11.22,2026-05-11
21367729,succinylsulfathiazole,琥珀醯噻唑磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367730,sulbactam,砜丙内醯胺,Antibiotics：β-lactamase inhibitor,113.11.22,2026-05-11
21367731,sulconazole,硫克霉唑；硫代乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367732,sulfacarbamide,胺甲醯磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367733,sulfacetamide,乙醯磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367734,sulfadiazine,嘧啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367735,sulfadimethoxine,二甲氧嘧啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367736,"sulfadimidine, sulfamethazine",二甲嘧啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367737,sulfadoxine,异二甲氧嘧啶磺胺,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367738,sulfamerazine,甲嘧啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367739,sulfamethizole,甲噻二唑磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367740,sulfamethoxazole,甲异㗁唑磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367741,sulfamethoxydiazine,甲氧嘧啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367742,sulfamethoxypyridazine,甲氧嗒𠯤磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367743,sulfanilamide,磺胺；胺苯磺醯胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367744,sulfapyridine,吡啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367745,sulfathiazole,噻唑磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367746,sulfisomidine,异二甲嘧啶磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367747,"sulfisoxazole, sulfafurazole",二甲异㗁唑磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367748,sulpiride,磺醯必利；磺醯吡咯啶,Antiemetics：Dopamine antagonist,113.11.22,2026-05-11
21367749,sultamicillin,砜丙内醯胺^胺苄西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367750,sunitinib,疏逆肾靶泊；胺吲酮吡咯肾靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367751,suramin,苏拉明；磺萘苯醯胺脲,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367752,tacrolimus,筑波丝菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,113.11.22,2026-05-11
21367753,tadalafil,坦达乐啡；椒醛缩色甘肽,Phosphodiesterase inhibitors：PDE5 inhibitors,113.11.22,2026-05-11
21367754,tafluprost,氟类前列酯F2α；苯氧氟前列丙酯F2α,Antiglaucoma agents：Prostaglandin analogues,113.11.22,2026-05-11
21367755,talazoparib,挞猎聚核苷靶泊；氟唑吡呔𠯤酮聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367756,tamoxifen,胺醚苯乙芪,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Estrogen receptor (ER) modulators],113.11.22,2026-05-11
21367757,tamsulosin,坦舒落欣；磺胺苯醚落欣,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367758,tazobactam,三唑砜丙内醯胺,Antibiotics：β-lactamase inhibitor,113.11.22,2026-05-11
21367759,tegafur,呋氟脲嘧啶,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367760,tegaserod,畅促血清素,Laxatives：Prokinetic Agents (5-HT4 agonists),113.11.22,2026-05-11
21367761,teicoplanin,泰康糖肽酯；游放射菌糖肽,Antibiotics：Glycopeptides,113.11.22,2026-05-11
21367762,telbivudine,胸去羟苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs),113.11.22,2026-05-11
21367763,telithromycin,啶唑红菌素；啶唑红丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367764,telmisartan,倜美洒坦；羧苯咪唑拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367765,temozolomide,四𠯤咪唑醯胺,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367766,temsirolimus,潮菌素羟酯；潮丝菌素二羟戊酯,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,113.11.22,2026-05-11
21367767,teniposide,噻吩拓扑苷；鬼臼噻缩甲醛苷,Antineoplastic agents：Topoisomerase inhibitors,113.11.22,2026-05-11
21367768,tenofovir,腺伸膦韦尔,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367769,tenofovir alafenamide,腺伸膦酚韦尔丙胺酸酯,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367770,tenofovir alafenamide fumarate (TAF),腺伸膦酚韦尔丙胺酸酯延胡索酸盐,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367771,tenofovir disoproxil,腺伸膦韦尔碳酸异丙酯,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367772,tenofovir disoproxil fumarate (TDF),腺伸膦韦尔碳酸异丙酯延胡索酸盐,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367773,tepotinib,剔搏肺靶泊；哌氰异嘧啶酮肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367774,terazosin,泰瑞挫欣；四氢呋醯哌𠯤挫欣,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367775,terbinafine,叔丁萘胺；叔丁炔烯萘胺,Antifungals：Allylamines,113.11.22,2026-05-11
21367776,terconazole,特克霉唑；丙𠯤三酮克霉三唑,Antifungals：Azole,113.11.22,2026-05-11
21367777,terfenadine,丁苯羟哌啶,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367778,testosterone,睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367779,testosterone benzoate,睪固酮苯甲酸酯,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367780,testosterone cypionate,睪固酮环戊丙酸酯,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367781,testosterone propionate,睪固酮丙酸酯,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367782,tetracycline,四环素,Antibiotics：Tetracyclines,113.11.22,2026-05-11
21367783,tetroxoprim,四醚苄嘧啶,Antibiotics：Others,113.11.22,2026-05-11
21367784,thalidomide,沙利窦迈；酞醯戊二醯亚胺,Antineoplastic agents： Immunomodulatory Agents (IMiDs),113.11.22,2026-05-11
21367785,theobromine,可可碱,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367786,theophylline,茶碱,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367787,thiamphenicol,砜氯丝菌素,Antibiotics：Others,113.11.22,2026-05-11
21367788,"tiabendazole, thiabendazole",噻唑苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367789,tibolone,炔新睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367790,ticarcillin,噻吩羧西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367791,tigecycline,丁甘醯胺四环素,Antibiotics：Tetracyclines,113.11.22,2026-05-11
21367792,timolol,倜脉落；叔丁𠰌洛,Antihypertensives：Adrenergic agents [Antiglaucoma agents：β-adrenergic blocking agents] [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367793,tinidazole,砜甲硝咪唑,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367794,tioconazole,噻吩克霉唑；噻吩乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367795,tipranavir,剔扑韦尔；磺吡喃韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367796,tirabrutinib,剔扰拉淋靶泊；苯氧羟炔淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367797,tobramycin,汰百菌素；暗丝菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367798,Tofacitinib,挞伐熄靶泊；氰哌胺熄靶泊,Anti-rheumatic Agents：Biological DMARDs [Antineoplastic agents：Protein kinase inhibitor],114.05.27,2026-05-11
21367799,tolnaftate,甲苯萘酯；甲苯胺硫甲酸萘酯,Antifungals：Others,113.11.22,2026-05-11
21367800,tolvaptan,妥管压坦；甲苯醯胺管压坦,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367801,topiramate,果糖缩酮磺胺酯,Anticonvulsants/Antiepileptic drugs (AEDs)：Fructose derivatives,113.11.22,2026-05-11
21367802,topotecan,拓扑提康；拓扑喜树碱,Antineoplastic agents：Topoisomerase inhibitors,113.11.22,2026-05-11
21367803,toremifene,胺醚苯氯乙芪,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367804,trabectedin,海鞘素；红树海鞘素,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367805,trametinib,淬神纤靶泊；环丙嘧神纤靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367806,trandolapril,灿多压利；苄丙缩丙环己脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367807,tranylcypromine,反-苯环丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367808,trastuzumab,淬斯妥拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367809,trastuzumab emtansine,淬斯妥拟单抗^美登木碱,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367810,travoprost,氟甲类前列酯F2α；氟苯氧前列丙酯F2α,Antiglaucoma agents：Prostaglandin analogues,113.11.22,2026-05-11
21367811,trazodone,三唑酮思汀；吡三唑酮类思汀,Antidepressants：Serotonin antagonist and reuptake inhibitors (SARI),113.11.22,2026-05-11
21367812,treprostinil,氢苯类前列酸I2,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367813,triamterene,三胺喋啶；苯三胺喋啶,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367814,trichlormethiazide,三氯甲噻𠯤；三氯甲苯氢磺𠯤,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367815,triclabendazole,三氯苯咪唑；氯苯甲硫苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367816,trifluridine,三氟脲去羟苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367817,trimethadione,三甲㗁唑二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Oxazolidinediones,113.11.22,2026-05-11
21367818,trimethoprim,三甲醚苄嘧啶,Antibiotics：Others,113.11.22,2026-05-11
21367819,tripelennamine,吡苄二胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367820,triprolidine,甲苯吡烯啶；甲苯吡丙烯咯啶,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367821,Triptorelin,色甘促垂肽；色甘醯胺促垂体肽,Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents],113.11.22,2026-05-11
21367822,troleandomycin,三醯桃菌素；三醯黄丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367823,tropisetron,莨菪碱息冲；吲哚莨菪碱酯,Antiemetics：5-HT3 antagonist,113.11.22,2026-05-11
21367824,undecylenic acid,十一烯酸；ω-十一烯酸,Antifungals：Others,113.11.22,2026-05-11
21367825,unoprostone,伸乙前列酮酸F2α；伸乙前列酮F2α,Antiglaucoma agents：Prostaglandin analogues,113.11.22,2026-05-11
21367826,upadacitinib,佑拔逹熄靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367827,valaciclovir,缬非环疱韦尔；缬非环鸟疱韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367828,valganciclovir,伐革巨韦尔；缬鸟裂缩巨韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367829,valproate semisodium,丙戊酸半钠盐,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367830,valproic acid,丙戊酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367831,valsartan,缬洒坦；缬戊醯四唑拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367832,vancomycin,万古菌素；泛抗菌糖肽,Antibiotics：Glycopeptides,113.11.22,2026-05-11
21367833,vandetanib,伐挞血管靶泊；卤哌苯嘧啶血管靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367834,vardenafil,伟达纳啡；哌𠯤磺苯新嘌呤,Phosphodiesterase inhibitors：PDE5 inhibitors,113.11.22,2026-05-11
21367835,velpatasvir,维帕肝韦尔；缬苯甘肝韦尔,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,113.11.22,2026-05-11
21367836,vemurafenib,麸速肌靶泊；咯吡磺胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367837,venlafaxine,维乐思汀；环己异思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),113.11.22,2026-05-11
21367838,verapamil,维律脉；维律腈苯胺,Antiarrhythmics agents：Class IV antiarrhythmics,113.11.22,2026-05-11
21367839,vidarabine,腺阿拉伯苷,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367840,vigabatrin,乙烯胺丁酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367841,vinblastine,长春花碱,Antineoplastic agents：Vinca alkaloids,113.11.22,2026-05-11
21367842,vincristine,甲醯长春花碱,Antineoplastic agents：Vinca alkaloids,113.11.22,2026-05-11
21367843,vinorelbine,缩环长春花碱,Antineoplastic agents：Vinca alkaloids,113.11.22,2026-05-11
